lsoa11cd,lad19cd,lad19nm,index_domain,decile,rank,score,year
E01004766,E08000001,Bolton,Barriers to Housing and Services,9,28862,9.73,2019
E01004766,E08000001,Bolton,Crime,2,3820,0.963,2019
E01004766,E08000001,Bolton,"Education, Skills and Training",5,14159,19.378,2019
E01004766,E08000001,Bolton,Employment,3,8988,0.126,2019
E01004766,E08000001,Bolton,Health Deprivation and Disability,3,8733,0.53,2019
E01004766,E08000001,Bolton,Income,3,8010,0.18,2019
E01004766,E08000001,Bolton,Income Deprivation Affecting Children,5,14006,0.15,2019
E01004766,E08000001,Bolton,Income Deprivation Affecting Older People,3,7186,0.245,2019
E01004766,E08000001,Bolton,Index of Multiple Deprivation,3,7694,30.687,2019
E01004766,E08000001,Bolton,Living Environment,1,1765,50.881,2019
E01004767,E08000001,Bolton,Barriers to Housing and Services,9,27657,10.982,2019
E01004767,E08000001,Bolton,Crime,2,3825,0.963,2019
E01004767,E08000001,Bolton,"Education, Skills and Training",5,16170,16.536,2019
E01004767,E08000001,Bolton,Employment,5,13241,0.096,2019
E01004767,E08000001,Bolton,Health Deprivation and Disability,4,10193,0.41,2019
E01004767,E08000001,Bolton,Income,4,12065,0.134,2019
E01004767,E08000001,Bolton,Income Deprivation Affecting Children,5,13829,0.153,2019
E01004767,E08000001,Bolton,Income Deprivation Affecting Older People,4,12504,0.168,2019
E01004767,E08000001,Bolton,Index of Multiple Deprivation,4,10776,24.997,2019
E01004767,E08000001,Bolton,Living Environment,1,3005,44.554,2019
E01004768,E08000001,Bolton,Barriers to Housing and Services,5,13193,23.012,2019
E01004768,E08000001,Bolton,Crime,5,14833,0.119,2019
E01004768,E08000001,Bolton,"Education, Skills and Training",10,29676,3.044,2019
E01004768,E08000001,Bolton,Employment,9,26582,0.044,2019
E01004768,E08000001,Bolton,Health Deprivation and Disability,7,21312,-0.341,2019
E01004768,E08000001,Bolton,Income,10,29569,0.036,2019
E01004768,E08000001,Bolton,Income Deprivation Affecting Children,10,30847,0.029,2019
E01004768,E08000001,Bolton,Income Deprivation Affecting Older People,9,28063,0.056,2019
E01004768,E08000001,Bolton,Index of Multiple Deprivation,9,28288,7.028,2019
E01004768,E08000001,Bolton,Living Environment,10,29836,4.495,2019
E01004769,E08000001,Bolton,Barriers to Housing and Services,9,26753,11.821,2019
E01004769,E08000001,Bolton,Crime,4,11673,0.318,2019
E01004769,E08000001,Bolton,"Education, Skills and Training",9,26889,5.358,2019
E01004769,E08000001,Bolton,Employment,6,18591,0.071,2019
E01004769,E08000001,Bolton,Health Deprivation and Disability,5,16417,-0.027,2019
E01004769,E08000001,Bolton,Income,9,27789,0.043,2019
E01004769,E08000001,Bolton,Income Deprivation Affecting Children,10,31634,0.023,2019
E01004769,E08000001,Bolton,Income Deprivation Affecting Older People,9,28551,0.053,2019
E01004769,E08000001,Bolton,Index of Multiple Deprivation,8,24505,10.019,2019
E01004769,E08000001,Bolton,Living Environment,7,20912,13.15,2019
E01004770,E08000001,Bolton,Barriers to Housing and Services,10,30700,7.459,2019
E01004770,E08000001,Bolton,Crime,7,21304,-0.319,2019
E01004770,E08000001,Bolton,"Education, Skills and Training",7,22029,9.81,2019
E01004770,E08000001,Bolton,Employment,6,16825,0.078,2019
E01004770,E08000001,Bolton,Health Deprivation and Disability,5,14980,0.068,2019
