lad19cd,lad19nm,index_domain,rank_average_score,percent_bottom_decile,year
E08000001,Bolton,Index of Multiple Deprivation,34,0.2373,2019
E08000002,Bury,Index of Multiple Deprivation,95,0.1,2019
E08000003,Manchester,Index of Multiple Deprivation,6,0.4326,2019
E08000004,Oldham,Index of Multiple Deprivation,19,0.305,2019
E08000005,Rochdale,Index of Multiple Deprivation,15,0.2985,2019
E08000006,Salford,Index of Multiple Deprivation,18,0.3,2019
E08000007,Stockport,Index of Multiple Deprivation,130,0.0895,2019
E08000008,Tameside,Index of Multiple Deprivation,28,0.2057,2019
E08000009,Trafford,Index of Multiple Deprivation,191,0.0507,2019
E08000010,Wigan,Index of Multiple Deprivation,75,0.165,2019
E08000001,Bolton,Income,29,0.2768,2019
E08000002,Bury,Income,83,0.1,2019
E08000003,Manchester,Income,8,0.3936,2019
E08000004,Oldham,Income,21,0.2624,2019
E08000005,Rochdale,Income,15,0.2985,2019
E08000006,Salford,Income,24,0.26,2019
E08000007,Stockport,Income,135,0.0842,2019
E08000008,Tameside,Income,37,0.1702,2019
E08000009,Trafford,Income,166,0.0725,2019
E08000010,Wigan,Income,77,0.135,2019
E08000001,Bolton,Employment,36,0.2316,2019
E08000002,Bury,Employment,57,0.15,2019
E08000003,Manchester,Employment,39,0.3369,2019
E08000004,Oldham,Employment,32,0.2766,2019
E08000005,Rochdale,Employment,16,0.2761,2019
E08000006,Salford,Employment,30,0.3,2019
E08000007,Stockport,Employment,100,0.1,2019
E08000008,Tameside,Employment,37,0.1986,2019
E08000009,Trafford,Employment,155,0.058,2019
E08000010,Wigan,Employment,50,0.19,2019
E08000001,Bolton,"Education, Skills and Training",90,0.1356,2019
E08000002,Bury,"Education, Skills and Training",164,0.0417,2019
E08000003,Manchester,"Education, Skills and Training",67,0.1454,2019
E08000004,Oldham,"Education, Skills and Training",23,0.2979,2019
E08000005,Rochdale,"Education, Skills and Training",43,0.1567,2019
E08000006,Salford,"Education, Skills and Training",44,0.18,2019
E08000007,Stockport,"Education, Skills and Training",183,0.0632,2019
E08000008,Tameside,"Education, Skills and Training",61,0.1348,2019
E08000009,Trafford,"Education, Skills and Training",275,0.0145,2019
E08000010,Wigan,"Education, Skills and Training",86,0.14,2019
E08000001,Bolton,Health and Disability,50,0.1921,2019
E08000002,Bury,Health and Disability,84,0.1083,2019
E08000003,Manchester,Health and Disability,5,0.5213,2019
E08000004,Oldham,Health and Disability,40,0.2411,2019
E08000005,Rochdale,Health and Disability,21,0.2761,2019
E08000006,Salford,Health and Disability,12,0.44,2019
E08000007,Stockport,Health and Disability,78,0.1211,2019
E08000008,Tameside,Health and Disability,19,0.2979,2019
E08000009,Trafford,Health and Disability,147,0.0507,2019
E08000010,Wigan,Health and Disability,46,0.215,2019
E08000001,Bolton,Crime,13,0.339,2019
E08000002,Bury,Crime,50,0.1333,2019
E08000003,Manchester,Crime,1,0.6135,2019
E08000004,Oldham,Crime,5,0.3759,2019
E08000005,Rochdale,Crime,2,0.4179,2019
E08000006,Salford,Crime,16,0.3133,2019
E08000007,Stockport,Crime,65,0.1316,2019
E08000008,Tameside,Crime,12,0.2695,2019
E08000009,Trafford,Crime,138,0.0217,2019
E08000010,Wigan,Crime,59,0.21,2019
E08000001,Bolton,Barriers to Housing and Services,285,0,2019
E08000002,Bury,Barriers to Housing and Services,277,0.0083,2019
E08000003,Manchester,Barriers to Housing and Services,63,0.0319,2019
E08000004,Oldham,Barriers to Housing and Services,307,0,2019
E08000005,Rochdale,Barriers to Housing and Services,231,0,2019
E08000006,Salford,Barriers to Housing and Services,218,0.0067,2019
E08000007,Stockport,Barriers to Housing and Services,290,0,2019
E08000008,Tameside,Barriers to Housing and Services,270,0,2019
E08000009,Trafford,Barriers to Housing and Services,289,0.0072,2019
E08000010,Wigan,Barriers to Housing and Services,300,0,2019
E08000001,Bolton,Living Environment,80,0.1525,2019
E08000002,Bury,Living Environment,124,0.0833,2019
E08000003,Manchester,Living Environment,42,0.1915,2019
E08000004,Oldham,Living Environment,61,0.0993,2019
E08000005,Rochdale,Living Environment,149,0.0448,2019
E08000006,Salford,Living Environment,94,0.0533,2019
E08000007,Stockport,Living Environment,141,0.0579,2019
E08000008,Tameside,Living Environment,93,0.0922,2019
E08000009,Trafford,Living Environment,131,0.029,2019
E08000010,Wigan,Living Environment,248,0.02,2019
E08000001,Bolton,Income Deprivation Affecting Children,52,0.1751,2019
E08000002,Bury,Income Deprivation Affecting Children,119,0.0917,2019
E08000003,Manchester,Income Deprivation Affecting Children,7,0.3617,2019
E08000004,Oldham,Income Deprivation Affecting Children,35,0.1631,2019
E08000005,Rochdale,Income Deprivation Affecting Children,34,0.1866,2019
E08000006,Salford,Income Deprivation Affecting Children,28,0.28,2019
E08000007,Stockport,Income Deprivation Affecting Children,160,0.0737,2019
E08000008,Tameside,Income Deprivation Affecting Children,44,0.1064,2019
E08000009,Trafford,Income Deprivation Affecting Children,214,0.0362,2019
E08000010,Wigan,Income Deprivation Affecting Children,110,0.1,2019
E08000001,Bolton,Income Deprivation Affecting Older People,49,0.1864,2019
E08000002,Bury,Income Deprivation Affecting Older People,109,0.0667,2019
E08000003,Manchester,Income Deprivation Affecting Older People,5,0.5,2019
E08000004,Oldham,Income Deprivation Affecting Older People,52,0.2199,2019
E08000005,Rochdale,Income Deprivation Affecting Older People,40,0.1866,2019
E08000006,Salford,Income Deprivation Affecting Older People,30,0.2133,2019
E08000007,Stockport,Income Deprivation Affecting Older People,136,0.0632,2019
E08000008,Tameside,Income Deprivation Affecting Older People,60,0.0638,2019
E08000009,Trafford,Income Deprivation Affecting Older People,134,0.0725,2019
E08000010,Wigan,Income Deprivation Affecting Older People,83,0.065,2019
E08000001,Bolton,Barriers to Housing and Services,237,0,2015
E08000002,Bury,Barriers to Housing and Services,289,0,2015
E08000003,Manchester,Barriers to Housing and Services,54,0.07801418439716312,2015
E08000004,Oldham,Barriers to Housing and Services,306,0,2015
E08000005,Rochdale,Barriers to Housing and Services,178,0,2015
E08000006,Salford,Barriers to Housing and Services,217,0,2015
E08000007,Stockport,Barriers to Housing and Services,307,0,2015
E08000008,Tameside,Barriers to Housing and Services,298,0,2015
E08000009,Trafford,Barriers to Housing and Services,292,0.007246376811594203,2015
E08000010,Wigan,Barriers to Housing and Services,288,0,2015
E08000001,Bolton,Crime,80,0.12994350282485875,2015
E08000002,Bury,Crime,118,0.05,2015
E08000003,Manchester,Crime,10,0.35106382978723405,2015
E08000004,Oldham,Crime,51,0.1702127659574468,2015
E08000005,Rochdale,Crime,29,0.23880597014925373,2015
E08000006,Salford,Crime,72,0.10666666666666667,2015
E08000007,Stockport,Crime,94,0.07368421052631578,2015
E08000008,Tameside,Crime,54,0.10638297872340426,2015
E08000009,Trafford,Crime,204,0,2015
E08000010,Wigan,Crime,127,0.045,2015
E08000001,Bolton,"Education, Skills and Training",99,0.12429378531073447,2015
E08000002,Bury,"Education, Skills and Training",195,0.025,2015
E08000003,Manchester,"Education, Skills and Training",38,0.19148936170212766,2015
E08000004,Oldham,"Education, Skills and Training",33,0.2553191489361702,2015
E08000005,Rochdale,"Education, Skills and Training",39,0.1791044776119403,2015
E08000006,Salford,"Education, Skills and Training",59,0.18666666666666668,2015
E08000007,Stockport,"Education, Skills and Training",187,0.06842105263157895,2015
E08000008,Tameside,"Education, Skills and Training",70,0.11347517730496454,2015
E08000009,Trafford,"Education, Skills and Training",274,0.021739130434782608,2015
E08000010,Wigan,"Education, Skills and Training",82,0.15,2015
E08000001,Bolton,Employment,43,0.20903954802259886,2015
E08000002,Bury,Employment,76,0.13333333333333333,2015
E08000003,Manchester,Employment,23,0.3333333333333333,2015
E08000004,Oldham,Employment,29,0.24822695035460993,2015
E08000005,Rochdale,Employment,11,0.291044776119403,2015
E08000006,Salford,Employment,24,0.2866666666666667,2015
E08000007,Stockport,Employment,130,0.08421052631578947,2015
E08000008,Tameside,Employment,38,0.19858156028368795,2015
E08000009,Trafford,Employment,150,0.057971014492753624,2015
E08000010,Wigan,Employment,47,0.19,2015
E08000001,Bolton,Health and Disability,35,0.22598870056497175,2015
E08000002,Bury,Health and Disability,74,0.11666666666666667,2015
E08000003,Manchester,Health and Disability,2,0.6560283687943262,2015
E08000004,Oldham,Health and Disability,31,0.28368794326241137,2015
E08000005,Rochdale,Health and Disability,17,0.3208955223880597,2015
E08000006,Salford,Health and Disability,7,0.4666666666666667,2015
E08000007,Stockport,Health and Disability,78,0.1368421052631579,2015
E08000008,Tameside,Health and Disability,16,0.3333333333333333,2015
E08000009,Trafford,Health and Disability,127,0.057971014492753624,2015
E08000010,Wigan,Health and Disability,38,0.25,2015
E08000001,Bolton,Income,43,0.22033898305084745,2015
E08000002,Bury,Income,102,0.09166666666666666,2015
E08000003,Manchester,Income,7,0.375886524822695,2015
E08000004,Oldham,Income,30,0.2624113475177305,2015
E08000005,Rochdale,Income,21,0.26865671641791045,2015
E08000006,Salford,Income,24,0.2733333333333333,2015
E08000007,Stockport,Income,145,0.06842105263157895,2015
E08000008,Tameside,Income,48,0.1276595744680851,2015
E08000009,Trafford,Income,169,0.07246376811594203,2015
E08000010,Wigan,Income,84,0.12,2015
E08000001,Bolton,Income Deprivation Affecting Children,81,0.11864406779661017,2015
E08000002,Bury,Income Deprivation Affecting Children,131,0.06666666666666667,2015
E08000003,Manchester,Income Deprivation Affecting Children,11,0.3617021276595745,2015
E08000004,Oldham,Income Deprivation Affecting Children,49,0.1773049645390071,2015
E08000005,Rochdale,Income Deprivation Affecting Children,40,0.17164179104477612,2015
E08000006,Salford,Income Deprivation Affecting Children,23,0.24666666666666667,2015
E08000007,Stockport,Income Deprivation Affecting Children,180,0.05789473684210526,2015
E08000008,Tameside,Income Deprivation Affecting Children,51,0.11347517730496454,2015
E08000009,Trafford,Income Deprivation Affecting Children,201,0.057971014492753624,2015
E08000010,Wigan,Income Deprivation Affecting Children,108,0.1,2015
E08000001,Bolton,Income Deprivation Affecting Older People,42,0.192090395480226,2015
E08000002,Bury,Income Deprivation Affecting Older People,102,0.06666666666666667,2015
E08000003,Manchester,Income Deprivation Affecting Older People,4,0.5,2015
E08000004,Oldham,Income Deprivation Affecting Older People,38,0.20567375886524822,2015
E08000005,Rochdale,Income Deprivation Affecting Older People,33,0.208955223880597,2015
E08000006,Salford,Income Deprivation Affecting Older People,30,0.22666666666666666,2015
E08000007,Stockport,Income Deprivation Affecting Older People,131,0.06315789473684211,2015
E08000008,Tameside,Income Deprivation Affecting Older People,65,0.05673758865248227,2015
E08000009,Trafford,Income Deprivation Affecting Older People,129,0.07246376811594203,2015
E08000010,Wigan,Income Deprivation Affecting Older People,87,0.065,2015
E08000001,Bolton,Index of Multiple Deprivation,51,0.2033898305084746,2015
E08000002,Bury,Index of Multiple Deprivation,118,0.1,2015
E08000003,Manchester,Index of Multiple Deprivation,5,0.4078014184397163,2015
E08000004,Oldham,Index of Multiple Deprivation,34,0.22695035460992907,2015
E08000005,Rochdale,Index of Multiple Deprivation,16,0.2835820895522388,2015
E08000006,Salford,Index of Multiple Deprivation,22,0.2866666666666667,2015
E08000007,Stockport,Index of Multiple Deprivation,146,0.08947368421052632,2015
E08000008,Tameside,Index of Multiple Deprivation,41,0.1702127659574468,2015
E08000009,Trafford,Index of Multiple Deprivation,199,0.028985507246376812,2015
E08000010,Wigan,Index of Multiple Deprivation,84,0.135,2015
E08000001,Bolton,Living Environment,98,0.07909604519774012,2015
E08000002,Bury,Living Environment,111,0.08333333333333333,2015
E08000003,Manchester,Living Environment,34,0.18439716312056736,2015
E08000004,Oldham,Living Environment,126,0.028368794326241134,2015
E08000005,Rochdale,Living Environment,146,0.029850746268656716,2015
E08000006,Salford,Living Environment,106,0.07333333333333333,2015
E08000007,Stockport,Living Environment,174,0.042105263157894736,2015
E08000008,Tameside,Living Environment,103,0.07801418439716312,2015
E08000009,Trafford,Living Environment,166,0.014492753623188406,2015
E08000010,Wigan,Living Environment,227,0.025,2015
