name,id,type,organisation,author,author_email,maintainer,maintainer_email,notes,updated
Trafford Public Toilets,ba5f40ce-4ace-4b48-89bd-be9913cdcc52,dataset,Trafford Council,Paul Westland,paul.westland@trafford.gov.uk,Paul Westland,paul.westland@trafford.gov.uk,Information regarding the location and attributes of Trafford's publically accessible toilet facilities.,2018-02-05
Variable Message Signs,28f2166c-4dfe-4608-aecb-33c72f889d74,dataset,Transport for Greater Manchester,Transport for Greater Manchester,opendata@tfgm.com,Michelle Peel,,"By downloading this dataset, you are indicating your acceptance of the terms of the Licence.

Location of all message signs within the Greater Manchester boundary.",2018-01-03
Traffic Camera Locations,213c947f-11c6-4c97-887b-9b12f22a670c,dataset,Transport for Greater Manchester,Transport for Greater Manchester,opendata@tfgm.com,Michelle Peel,,"By downloading this dataset, you are indicating your acceptance of the terms of the Licence.

Data showing available locations of traffic monitoring cameras in Greater Manchester.

NOTE: This data only includes locations of cameras where TfGM receives data feeds and doesn't include all traffic cameras.",2018-01-03
Traffic Signal Locations,982d27ab-4dea-425e-bfb4-66acd1170c9a,dataset,Transport for Greater Manchester,Transport for Greater Manchester,opendata@tfgm.com,Peter Wightman,,"Locations of traffic signals in Greater Manchester, including Signals, Puffins, Pelicans, Pegasus, Wig Wags, Toucans, and LRT.

This dataset is available from our pages on data.gov.uk - the link below will take you to the page where you can download the dataset.",2017-12-15
Grants to voluntary and community organisations - Trafford,58f50da4-90d4-4fd1-b22b-79160c6337b7,dataset,Trafford Council,Trafford Data Lab,info.trafford@trafford.gov.uk,,,"Dataset of grants allocated by [Trafford Council](http://www.trafford.gov.uk) via [Trafford Partnership](http://www.traffordpartnership.org/) to voluntary and community organisations. It conforms to the [360 Giving standard](http://www.threesixtygiving.org/support/standard/) and is available to view on [GrantNav](http://grantnav.threesixtygiving.org/funder/GB-LAE-TRF).

You can also download all grant data for Trafford Council in [CSV](http://grantnav.threesixtygiving.org/funder/GB-LAE-TRF.csv) and [JSON](http://grantnav.threesixtygiving.org/funder/GB-LAE-TRF.json) formats directly from GrantNav.",2017-11-28
GM Accessibility Levels (GMAL),33e57df8-f8ee-425b-91ee-fe2c6e9da700,dataset,Transport for Greater Manchester,Transport for Greater Manchester,opendata@tfgm.com,Peter Wightman,,"Greater Manchester Accessibility Levels (GMAL) are a detailed and accurate measure of the accessibility of a point to both the conventional public transport network (i.e. bus, Metrolink and rail) and Greater Manchester’s Local Link (flexible transport service), taking into account walk access time and service availability. The method is essentially a way of measuring the density of the public transport provision at any location within the Greater Manchester region. 

This dataset is available from our pages on data.gov.uk - the link below will take you to the page where you can download the dataset.",2017-11-28
"Bus Routes (1:25,000 scale map data)",2662e04f-644d-4c11-8d0b-ff7fc3ba52fd,dataset,Transport for Greater Manchester,Transport for Greater Manchester,opendata@tfgm.com,Peter Wightman,,"This dataset consists of map files which show bus routes covering the Greater Manchester area in a selection of GIS file formats.

This dataset is available from our pages on data.gov.uk - the link below will take you to the page where you can download the dataset.",2017-11-14
Cycle Parking,ed2259d6-c561-44a2-9278-ceb7d9a5310a,dataset,Transport for Greater Manchester,Transport for Greater Manchester,opendata@tfgm.com,Peter Wightman,,"This data includes the location of cycle stands (e.g. Sheffield Stands) which are generally on-street.  Locations where there are only one or two stands have not been recorded.  All data comes from the Local Authorities.

This dataset is available from our pages on data.gov.uk - the link will take you to the page from which you can download the dataset.",2017-07-28
Cycle Lockers,94e0b7ac-f3a7-465d-9519-02e096d47b4e,dataset,Transport for Greater Manchester,Transport for Greater Manchester,opendata@tfgm.com,Peter Wightman,,"Most lockers are part of the Bike Locker Users' Club (BLUC), but one or two locations are not BLUCs.

This dataset is available from our pages on data.gov.uk - the link will take you to the page from which you can download the dataset.",2017-07-28
Cycle Routes,55cdefef-fe4a-44c3-9bf9-80a81e82b1e0,dataset,Transport for Greater Manchester,Transport for Greater Manchester,opendata@tfgm.com,Peter Wightman,,"Cycle routes in Greater Manchester, including on-road, off-road, and canal towpaths and National Cycle Network routes.  Data provided by the GM local authorities.

This dataset is available from our pages on data.gov.uk - the link will take you to the page from which you can download the dataset.",2017-07-04
Cycle Hubs,e911ced3-7c57-4358-84ab-4eed521f6543,dataset,Transport for Greater Manchester,Transport for Greater Manchester,opendata@tfgm.com,Peter Wightman,,"Cycle Hub locations in Greater Manchester.

This dataset is available from our pages on data.gov.uk - the link will take you to the page from which you can download the dataset.",2017-07-04
Cycle Shops,7a6e0f0b-4c63-4cf0-b527-9f41513490c3,dataset,Transport for Greater Manchester,Transport for Greater Manchester,opendata@tfgm.com,Peter Wightman,,"This data came from a desktop study in 2011.  Updates have been provided by Local Authorities when the paper cycle map has been updated.  This data may not be completely up-to-date as bike shops frequently open and close.

This dataset is available from our pages on data.gov.uk - the link will take you to the page from which you can download the dataset.",2017-07-04
